,AGG,TARGET,SCORING_PREDICT,AMT_GOODS_PRICE,AMT_CREDIT,AMT_ANNUITY,AMT_INCOME_TOTAL,ANNUITY_INCOME_PERCENT,CREDIT_TERM,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_EMPLOYED_PERCENT,REGION_POPULATION_RELATIVE,CNT_CHILDREN,AMT_CREDIT_qcut,DAYS_BIRTH_qcut,ANNUITY_INCOME_PERCENT_qcut
26,q10,0.0,89.0,819000.0,959465.7000000001,30528.0,180000.0,0.15,24.0,14814.0,362.70000000000005,0.02,0.01,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.14, 0.19]"
27,q25,0.0,93.0,900000.0,1042560.0,33668.5,202500.0,0.16,26.0,15255.25,979.5,0.06,0.01,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.14, 0.19]"
28,median,0.0,96.0,1125000.0,1166724.0,39474.0,225000.0,0.17,34.0,15885.5,2169.0,0.14,0.02,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.14, 0.19]"
29,q75,0.0,98.0,1345500.0,1350000.0,47664.0,270000.0,0.18,34.0,16603.25,3958.75,0.25,0.03,1.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.14, 0.19]"
30,q90,0.0,98.0,1575000.0,1697852.0000000005,56559.00000000002,337500.0,0.19,36.0,17042.0,6497.100000000003,0.41,0.05,2.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.14, 0.19]"
31,max,0.0,99.0,3150000.0,3150000.0,225000.0,1350000.0,0.19,42.0,17363.0,10374.0,0.61,0.07,5.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.14, 0.19]"
32,mean,0.0,94.27447216890594,1149707.0710172744,1274921.5239923224,48236.90810940499,147808.7615163148,0.33848368522071964,28.075095969289826,15951.772792706333,2919.149952015355,0.1833565259117067,0.021458733205374652,0.5035988483685221,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.25, 2.0]"
33,min,0.0,58.0,652500.0,900297.0,24021.0,36000.0,0.26,9.0,14546.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.25, 2.0]"
34,q10,0.0,88.0,882000.0,971280.0,31653.0,90000.0,0.26,19.0,14822.7,345.70000000000005,0.02,0.01,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.25, 2.0]"
35,q25,0.0,93.0,900000.0,1054773.0,37125.0,112500.0,0.28,24.0,15236.0,964.0,0.06,0.01,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.25, 2.0]"
36,median,0.0,96.0,1125000.0,1205896.0,44957.0,135000.0,0.31,29.0,15957.5,2250.5,0.14,0.02,0.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.25, 2.0]"
37,q75,0.0,98.0,1350000.0,1359783.0,54105.75,180000.0,0.37,34.0,16647.25,4200.0,0.27,0.03,1.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.25, 2.0]"
38,q90,0.0,98.0,1575000.0,1729448.4000000015,66532.0,223434.8000000004,0.44,36.0,17074.3,7042.0,0.44,0.04,2.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.25, 2.0]"
39,max,0.0,99.0,4050000.0,4050000.0,258026.0,783000.0,1.0,40.0,17366.0,10691.0,0.62,0.07,6.0,"(900000.0, 4050000.0]","(14545.0, 17366.0]","(0.25, 2.0]"
40,mean,0.0,95.21903052064631,1105384.7564332734,1236638.5559545183,40864.881508078994,323990.0933572711,0.12691202872531337,31.149611011370435,18912.87013764213,3048.4560143626572,0.1616576900059846,0.027420706163973865,0.13764213046080193,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.1, 0.14]"
41,min,0.0,59.0,648000.0,900054.0,24160.0,171000.0,0.11,10.0,17367.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.1, 0.14]"
42,q10,0.0,90.0,819000.0,948816.0,29484.0,225000.0,0.11,24.0,17622.0,151.0,0.01,0.01,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.1, 0.14]"
43,q25,0.0,94.0,900000.0,1035832.0,32472.0,270000.0,0.12,28.0,18097.0,867.0,0.05,0.01,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.1, 0.14]"
44,median,0.0,97.0,1062000.0,1133748.0,37818.0,315000.0,0.13,34.0,18932.0,2317.0,0.12,0.02,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.1, 0.14]"
45,q75,0.0,98.0,1237500.0,1339884.0,45612.0,360000.0,0.14,34.0,19705.5,4394.0,0.24,0.03,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.1, 0.14]"
46,q90,0.0,99.0,1462500.0,1575000.0,55755.0,450000.0,0.14,36.0,20179.0,7101.0,0.38,0.07,1.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.1, 0.14]"
47,max,0.0,99.0,2700000.0,2931660.0,177826.0,1260000.0,0.14,39.0,20578.0,13650.0,0.67,0.07,3.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.1, 0.14]"
48,mean,0.0,95.30598052851182,1085385.9610570236,1218384.2420027817,39663.85674547983,506600.52990264253,0.08482614742698254,31.56050069541029,18969.66759388039,3232.0208623087624,0.1701529902642559,0.02993045897079287,0.18636995827538247,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(-0.001, 0.1]"
49,min,0.0,72.0,652500.0,900297.0,24304.0,252000.0,0.01,11.0,17370.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(-0.001, 0.1]"
50,q10,0.0,90.0,792000.0,945000.0,28486.0,315000.0,0.06,24.0,17722.8,313.6,0.02,0.01,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(-0.001, 0.1]"
51,q25,0.0,94.0,900000.0,1024515.0,31653.0,360000.0,0.08,29.5,18162.5,1125.0,0.06,0.01,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(-0.001, 0.1]"
52,median,0.0,96.0,1035000.0,1125000.0,36927.0,441000.0,0.09,34.0,19028.0,2469.0,0.13,0.02,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(-0.001, 0.1]"
53,q75,0.0,98.0,1170000.0,1316156.0,43697.5,540000.0,0.1,34.0,19748.5,4588.5,0.24,0.05,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(-0.001, 0.1]"
54,q90,0.0,99.0,1395000.0,1575000.0,55508.0,686700.0000000006,0.1,36.0,20178.4,7310.800000000002,0.38,0.07,1.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(-0.001, 0.1]"
55,max,0.0,99.0,2475000.0,2695500.0,117369.0,4500000.0,0.1,40.0,20556.0,13583.0,0.67,0.07,4.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(-0.001, 0.1]"
56,mean,0.0,94.91538933169835,1128315.2752912324,1258564.7339055794,43439.811158798286,194783.74831391784,0.22403740036788053,30.00551808706315,18945.07050889025,3010.899754751686,0.1595309625996316,0.023721643163703524,0.12906192519926427,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.19, 0.25]"
57,min,0.0,53.0,648000.0,901814.0,24021.0,96120.0,0.2,9.0,17369.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.19, 0.25]"
58,q10,0.0,90.0,832500.0,959076.0,30717.0,135000.0,0.2,22.0,17641.0,0.0,0.0,0.01,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.19, 0.25]"
59,q25,0.0,94.0,900000.0,1042560.0,34245.0,157500.0,0.21,25.0,18128.0,685.0,0.04,0.01,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.19, 0.25]"
60,median,0.0,97.0,1125000.0,1184542.0,41630.0,180000.0,0.22,31.0,18935.5,2062.5,0.11,0.02,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.19, 0.25]"
61,q75,0.0,98.0,1345500.0,1354500.0,49298.0,225000.0,0.24,34.0,19780.0,4215.0,0.23,0.03,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.19, 0.25]"
62,q90,0.0,98.0,1575000.0,1687266.0,58147.20000000002,270000.0,0.25,36.0,20229.9,7584.9,0.4,0.05,1.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.19, 0.25]"
63,max,0.0,99.0,2250000.0,2695500.0,147393.0,675000.0,0.25,42.0,20579.0,13751.0,0.67,0.07,14.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.19, 0.25]"
64,mean,0.0,95.05326189725811,1128375.8298140562,1258081.7746612038,41827.7535455405,247081.9984242042,0.17053577056413632,30.930664985817838,18940.715411282697,3001.387960920265,0.15916482823825948,0.024550898203593057,0.129845572013867,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.14, 0.19]"
65,min,0.0,59.0,0.0,900054.0,23859.0,135000.0,0.15,10.0,17368.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.14, 0.19]"
66,q10,0.0,90.0,819000.0,952470.0,30298.0,180000.0,0.15,24.0,17657.0,0.0,0.0,0.01,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.14, 0.19]"
67,q25,0.0,94.0,900000.0,1042560.0,33120.0,202500.0,0.16,28.0,18124.0,630.0,0.03,0.01,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.14, 0.19]"
68,median,0.0,96.0,1111500.0,1173060.0,38781.0,225000.0,0.17,34.0,18945.0,2057.0,0.11,0.02,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.14, 0.19]"
69,q75,0.0,98.0,1327500.0,1350000.0,47484.0,270000.0,0.18,34.0,19748.0,4399.0,0.23,0.03,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.14, 0.19]"
70,q90,0.0,98.0,1575000.0,1687266.0,56411.200000000026,355500.0,0.19,36.0,20214.6,7531.000000000006,0.4,0.05,1.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.14, 0.19]"
71,max,0.0,99.0,4050000.0,4050000.0,230162.0,1575000.0,0.19,40.0,20579.0,13961.0,0.68,0.07,5.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.14, 0.19]"
72,mean,0.0,94.75199645075422,1165070.0046583852,1285862.349378882,48048.77417923691,145750.15461401953,0.3423824312333525,28.345829636202307,18989.186335403727,2966.193655723159,0.15688110026619237,0.021679236912156615,0.12089618456078083,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.25, 2.0]"
73,min,0.0,58.0,0.0,900297.0,23877.0,27900.0,0.26,9.0,17367.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.25, 2.0]"
74,q10,0.0,89.0,900000.0,973710.0,31653.0,90000.0,0.27,19.0,17684.7,0.0,0.0,0.01,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.25, 2.0]"
75,q25,0.0,93.0,904500.0,1055265.75,37125.0,112500.0,0.28,24.0,18155.75,564.75,0.03,0.01,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.25, 2.0]"
76,median,0.0,96.0,1125000.0,1223010.0,44741.0,135000.0,0.32,29.0,19029.0,1969.5,0.1,0.02,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.25, 2.0]"
77,q75,0.0,98.0,1350000.0,1417077.0,53672.0,175500.0,0.37,34.0,19806.25,4335.5,0.23,0.03,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.25, 2.0]"
78,q90,0.0,98.0,1575000.0,1762110.0,66712.0,207000.0,0.45,36.0,20252.0,7685.300000000002,0.4030000000000018,0.04,0.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.25, 2.0]"
79,max,0.0,100.0,3825000.0,3956274.0,225000.0,765000.0,1.0,42.0,20579.0,13824.0,0.68,0.07,5.0,"(900000.0, 4050000.0]","(17366.0, 20579.0]","(0.25, 2.0]"
80,mean,0.0,94.23612823674476,1108014.045622688,1240192.7965474722,41023.2120838471,325083.11220715166,0.1270468557336615,31.09679408138101,13263.919235511714,2240.6676942046856,0.16879778051787928,0.026479654747225842,0.813810110974106,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.1, 0.14]"
81,min,0.0,45.0,675000.0,900693.0,23990.0,180000.0,0.11,10.0,11796.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.1, 0.14]"
82,q10,0.0,88.10000000000002,810000.0,954864.0,29808.0,225000.0,0.11,24.0,12086.1,355.3000000000003,0.03,0.01,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.1, 0.14]"
83,q25,0.0,93.0,900000.0,1042560.0,32373.0,270000.0,0.12,28.0,12620.5,834.25,0.06,0.01,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.1, 0.14]"
84,median,0.0,96.0,1065413.0,1129500.0,38147.0,315000.0,0.13,34.0,13335.0,1859.0,0.14,0.02,1.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.1, 0.14]"
85,q75,0.0,98.0,1260000.0,1350000.0,46570.0,360000.0,0.14,34.0,13957.75,3303.0,0.25,0.03,1.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.1, 0.14]"
86,q90,0.0,98.0,1575000.0,1622421.9000000001,55547.600000000006,450000.0,0.14,36.0,14301.0,4715.700000000001,0.36,0.05,2.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.1, 0.14]"
87,max,0.0,99.0,4050000.0,4050000.0,225000.0,1800000.0,0.14,40.0,14544.0,7708.0,0.53,0.07,5.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.1, 0.14]"
88,mean,0.0,94.87690179806363,1119374.2863070539,1233119.4232365144,41150.83540802213,529892.1521438451,0.08485477178423298,31.186721991701244,13318.203319502074,2222.218533886584,0.16652835408022118,0.029183955739972397,0.7814661134163209,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(-0.001, 0.1]"
89,min,0.0,68.0,675000.0,900297.0,0.0,202500.0,0.0,0.0,11802.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(-0.001, 0.1]"
90,q10,0.0,89.2,783900.0,942300.0,28760.4,315000.0,0.06,22.0,12122.0,388.2,0.03,0.01,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(-0.001, 0.1]"
91,q25,0.0,94.0,900000.0,1040724.0,31941.0,360000.0,0.08,28.0,12677.0,845.5,0.06,0.01,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(-0.001, 0.1]"
92,median,0.0,96.0,1102500.0,1125000.0,36864.0,441000.0,0.09,34.0,13383.0,1965.0,0.15,0.02,1.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(-0.001, 0.1]"
93,q75,0.0,98.0,1237500.0,1346245.0,44876.5,585000.0,0.1,35.0,14053.0,3122.5,0.24,0.04,1.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(-0.001, 0.1]"
94,q90,0.0,98.0,1575000.0,1575000.0,59207.400000000016,765000.0,0.1,38.0,14342.800000000001,4773.200000000004,0.35,0.07,2.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(-0.001, 0.1]"
95,max,0.0,100.0,3600000.0,3600000.0,225000.0,13500000.0,0.1,40.0,14545.0,7587.0,0.52,0.07,5.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(-0.001, 0.1]"
96,mean,0.0,93.72578444747613,1141604.184515689,1270268.9236016371,44265.96111869031,198378.17939972715,0.22396657571624073,29.81207366984993,13306.177694406548,2291.0944747612552,0.1718349249658928,0.022643246930423147,0.871418826739427,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.19, 0.25]"
97,min,0.0,50.0,0.0,900297.0,24926.0,108000.0,0.2,10.0,11795.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.19, 0.25]"
98,q10,0.0,87.0,855000.0,970380.0,31041.0,135000.0,0.2,20.0,12188.1,368.0,0.03,0.01,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.19, 0.25]"
99,q25,0.0,92.0,900000.0,1042560.0,34749.0,157500.0,0.21,25.0,12662.5,888.0,0.07,0.01,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.19, 0.25]"
100,median,0.0,95.0,1125000.0,1178460.0,41661.0,180000.0,0.22,31.0,13370.0,1889.5,0.14,0.02,1.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.19, 0.25]"
101,q75,0.0,97.0,1350000.0,1374480.0,50378.0,225000.0,0.24,34.0,13986.5,3267.5,0.25,0.03,2.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.19, 0.25]"
102,q90,0.0,98.0,1575000.0,1724220.0,60556.0,270000.0,0.25,36.0,14316.8,4911.1,0.37,0.05,2.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.19, 0.25]"
103,max,0.0,99.0,3150000.0,3312162.0,169232.0,727870.0,0.25,45.0,14544.0,7759.0,0.54,0.07,5.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.19, 0.25]"
104,mean,0.0,94.03130688023298,1126385.5347651984,1252291.734619585,42035.271204950855,247895.28394612303,0.17072442664725365,30.642519111758283,13277.66363305424,2236.1998543866034,0.16799053512923115,0.023887877684747174,0.8208955223880597,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.14, 0.19]"
105,min,0.0,55.0,648000.0,900054.0,24228.0,135000.0,0.15,10.0,11795.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.14, 0.19]"
106,q10,0.0,88.0,832500.0,961146.0,30528.0,180000.0,0.15,24.0,12139.2,371.6,0.03,0.01,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.14, 0.19]"
107,q25,0.0,93.0,900000.0,1042560.0,33671.0,202500.0,0.16,27.0,12607.0,836.5,0.06,0.01,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.14, 0.19]"
108,median,0.0,96.0,1125000.0,1138900.0,39290.0,225000.0,0.17,32.0,13346.0,1843.0,0.14,0.02,1.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.14, 0.19]"
109,q75,0.0,97.0,1341000.0,1350000.0,47664.0,270000.0,0.18,34.0,13957.0,3267.0,0.25,0.03,1.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.14, 0.19]"
110,q90,0.0,98.0,1575000.0,1649376.0,56943.00000000001,341719.2,0.19,36.0,14316.4,4810.4,0.36,0.05,2.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.14, 0.19]"
111,max,0.0,99.0,4050000.0,4050000.0,220298.0,1350000.0,0.19,40.0,14545.0,7850.0,0.54,0.07,4.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.14, 0.19]"
112,mean,0.0,93.6848642403235,1164965.545349509,1287462.5571923743,48766.10918544194,149251.7085499711,0.3383939919121823,28.09676487579434,13301.39196995956,2341.8619295205085,0.17588965915655597,0.02122472559214361,0.9462738301559792,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.25, 2.0]"
113,min,0.0,46.0,648000.0,900297.0,24984.0,40500.0,0.26,10.0,11795.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.25, 2.0]"
114,q10,0.0,87.0,900000.0,971280.0,32611.500000000004,90000.0,0.27,19.0,12150.1,355.0,0.03,0.01,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.25, 2.0]"
115,q25,0.0,92.0,900000.0,1056447.0,37566.0,112500.0,0.28,24.0,12663.5,873.0,0.07,0.01,0.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.25, 2.0]"
116,median,0.0,95.0,1125000.0,1223010.0,45027.0,135000.0,0.32,29.0,13380.5,1924.5,0.15,0.02,1.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.25, 2.0]"
117,q75,0.0,97.0,1350000.0,1408632.75,54887.75,180000.0,0.37,34.0,13948.5,3494.25,0.27,0.03,2.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.25, 2.0]"
118,q90,0.0,98.0,1588500.0,1762110.0,67500.0,225000.0,0.44,36.0,14312.9,4988.8,0.38,0.04,2.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.25, 2.0]"
119,max,0.0,99.0,3555000.0,3860019.0,216590.0,796500.0,0.98,40.0,14545.0,7867.0,0.54,0.07,5.0,"(900000.0, 4050000.0]","(11794.0, 14545.0]","(0.25, 2.0]"
120,mean,0.0,93.17213114754098,1100247.0667447306,1222543.637002342,40362.30913348946,317997.3419203747,0.12765807962529285,31.355971896955502,10549.086651053864,1456.2704918032787,0.13610070257611237,0.024859484777517572,0.5128805620608899,"(900000.0, 4050000.0]","(7488.999, 11794.0]","(0.1, 0.14]"
121,min,0.0,55.0,648000.0,900054.0,23890.0,171000.0,0.11,11.0,7808.0,0.0,0.0,0.0,0.0,"(900000.0, 4050000.0]","(7488.999, 11794.0]","(0.1, 0.14]"
